id,title,price,condition,seller_id,picture
MLA1395551881,Google Chromecast  3 Full Hd Media Streaming Negro.,89759,new,234883070,http://http2.mlstatic.com/D_849769-MLU72534254372_102023-O.jpg
MLA1540955372,Google Chromecast,85000,new,476236434,http://http2.mlstatic.com/D_996164-MLU53415830967_012023-O.jpg
MLA1390256065,Google Chromecast Full Hd Google Tv Control Remoto 4ta Gen,114599,new,750301420,http://http2.mlstatic.com/D_743560-MLA71977153623_092023-O.jpg
MLA1401362019,Google Chromecast 3 Sellado Hdmi Smart Tv Android Ios,79999,new,150246782,http://http2.mlstatic.com/D_866398-MLU72761437580_112023-O.jpg
MLA1400819690,Google Chromecast Google Tv Control Voz 4k 8gb Snow 2gb Ram,94999,new,1002842391,http://http2.mlstatic.com/D_612493-MLA71582769920_092023-O.jpg
MLA1617153638,Google Chromecast Con Google Tv Hd - Blanco 4 Generacion ,73100,new,7955284,http://http2.mlstatic.com/D_716772-MLU70427567255_072023-O.jpg
MLA1400665773,Xiaomi Mi Tv Stick Full Hd 8gb C/control Amazon Color Negro,125881,new,244531898,http://http2.mlstatic.com/D_988091-MLU69826403059_062023-O.jpg
MLA1392996999,Google Chromecast 3ra. Gen ,129999,new,1405947561,http://http2.mlstatic.com/D_611797-MLU70727381401_072023-O.jpg
MLA1119266983,Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi,119999,new,176546321,http://http2.mlstatic.com/D_990059-MLA48819661383_012022-O.jpg
MLA1381141559,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco Acuario,91999,new,68286146,http://http2.mlstatic.com/D_652135-MLA53313434104_012023-O.jpg
MLA1614481284,Xiaomi Mi Tv Stick Full Hd 8gb C/control Amazon Color Negro,151057,new,244531898,http://http2.mlstatic.com/D_988091-MLU69826403059_062023-O.jpg
MLA1598360300,Google Chromecast  3 Full Hd Media Streaming Negro.,84900,new,8728693,http://http2.mlstatic.com/D_849769-MLU72534254372_102023-O.jpg
